Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMPlainAttrTemplate.java,7,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMPlainAttr.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMDerAttrTemplate.java,7,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMDerAttr.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGroup.java,944,3,0,603,593,953,614,317.66666,201.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGVirSchema.java,36,1,0,36,36,614,614,614.0,36.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGVirAttrTemplate.java,66,1,0,66,66,614,614,614.0,66.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGVirAttr.java,82,1,0,82,82,614,614,614.0,82.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGPlainSchema.java,36,1,0,36,36,614,614,614.0,36.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGPlainAttrValue.java,64,1,0,64,64,614,614,614.0,64.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGPlainAttrUniqueValue.java,78,1,0,78,78,614,614,614.0,78.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGPlainAttrTemplate.java,75,1,0,75,75,614,614,614.0,75.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGPlainAttr.java,140,1,0,140,140,614,614,614.0,140.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGMappingItem.java,58,1,0,58,58,614,614,614.0,58.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGMapping.java,103,1,0,103,103,614,614,614.0,103.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGDerSchema.java,34,1,0,34,34,614,614,614.0,34.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGDerAttrTemplate.java,66,1,0,66,66,614,614,614.0,66.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/group/JPAGDerAttr.java,82,1,0,82,82,614,614,614.0,82.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPAttributableUtilFactory.java,12,2,0,0,0,639,614,319.5,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPANotification.java,28,3,0,1,1,667,614,222.33333,0.33333334,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPAExternalResource.java,23,4,0,1,1,981,614,245.25,0.25,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPAEntityFactory.java,93,4,0,12,8,1014,614,253.5,3.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPAAttributableUtil.java,93,2,1,0,0,620,614,310.0,0.0,true
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/AbstractMappingItem.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/AbstractMapping.java,9,2,0,2,2,639,614,319.5,1.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/SearchSupport.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAVirSchemaDAO.java,26,3,0,2,2,936,614,312.0,0.6666667,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAVirAttrDAO.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAUserDAO.java,59,2,0,3,3,928,614,464.0,1.5,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPASubjectSearchDAO.java,119,3,0,9,9,961,614,320.33334,3.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAPlainSchemaDAO.java,30,3,0,2,2,936,614,312.0,0.6666667,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAPlainAttrValueDAO.java,8,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAPlainAttrDAO.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAMembershipDAO.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAGroupDAO.java,851,4,0,584,579,994,614,248.5,146.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAExternalResourceDAO.java,18,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAEntitlementDAO.java,12,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPADerSchemaDAO.java,23,3,0,2,2,936,614,312.0,0.6666667,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPADerAttrDAO.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAAttrTemplateDAO.java,12,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/AbstractSubjectDAO.java,32,2,0,9,9,928,614,464.0,4.5,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/content/XMLContentExporter.java,1,1,0,0,0,614,614,614.0,0.0,false
